ui_ssp,ui_year,ui_tech,ui_subtype,ui_feature,ui_is_ccs,ui_cooling_type,ui_capacity_factor,fname,fpath,ssp,tech,subtype,feature,is_ccs,cooling_type,cap_factor
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 80 meters (m),--,No Cooling,50cf,gridcerf_wind_onshore_hubheight80_no-cooling_50cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight80_no-cooling_50cf.tif,ssp5,wind,onshore,hubheight80,--,no-cooling,50cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 80 meters (m),--,No Cooling,15cf,gridcerf_wind_onshore_hubheight80_no-cooling_15cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight80_no-cooling_15cf.tif,ssp5,wind,onshore,hubheight80,--,no-cooling,15cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 140 meters (m),--,No Cooling,25cf,gridcerf_wind_onshore_hubheight140_no-cooling_25cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight140_no-cooling_25cf.tif,ssp5,wind,onshore,hubheight140,--,no-cooling,25cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 120 meters (m),--,No Cooling,30cf,gridcerf_wind_onshore_hubheight120_no-cooling_30cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight120_no-cooling_30cf.tif,ssp5,wind,onshore,hubheight120,--,no-cooling,30cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 100 meters (m),--,No Cooling,45cf,gridcerf_wind_onshore_hubheight100_no-cooling_45cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight100_no-cooling_45cf.tif,ssp5,wind,onshore,hubheight100,--,no-cooling,45cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 140 meters (m),--,No Cooling,5cf,gridcerf_wind_onshore_hubheight140_no-cooling_5cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight140_no-cooling_5cf.tif,ssp5,wind,onshore,hubheight140,--,no-cooling,5cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 80 meters (m),--,No Cooling,10cf,gridcerf_wind_onshore_hubheight80_no-cooling_10cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight80_no-cooling_10cf.tif,ssp5,wind,onshore,hubheight80,--,no-cooling,10cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 80 meters (m),--,No Cooling,30cf,gridcerf_wind_onshore_hubheight80_no-cooling_30cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight80_no-cooling_30cf.tif,ssp5,wind,onshore,hubheight80,--,no-cooling,30cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 120 meters (m),--,No Cooling,5cf,gridcerf_wind_onshore_hubheight120_no-cooling_5cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight120_no-cooling_5cf.tif,ssp5,wind,onshore,hubheight120,--,no-cooling,5cf
SSP5 - 'Taking the Highway',2085,Wind,Onshore,Hub Height 80 meters (m),--,No Cooling,5cf,gridcerf_wind_onshore_hubheight80_no-cooling_5cf.tif,ssp5/2085/wind/gridcerf_wind_onshore_hubheight80_no-cooling_5cf.tif,ssp5,wind,onshore,hubheight80,--,no-cooling,5cf
